Date reported to Alberta Health,Number of lab tests,Cumulative number of lab tests,Number of cases,Cumulative number of cases,Currently hospitalized,Currently in ICU,count_hosp_covid_related,count_icu_covid_related,Cumulative number of deaths,Number of deaths,Number of variants of concern,Percent positivity
2020-03-06,60,511,0,0,0,0,,,0,0,0,5
2020-03-07,281,792,1,2,0,0,,,0,0,0,0
2020-03-08,454,1246,1,3,0,0,,,0,0,0,0
2020-03-09,643,1889,4,7,1,0,,,0,0,0,1.71
2020-03-10,784,2673,9,16,1,0,,,0,0,0,1.91
2020-03-11,1334,4007,7,23,1,0,,,0,0,0,0.6
2020-03-12,1147,5154,3,26,2,1,,,0,0,0,0.26
2020-03-13,1587,6741,8,34,5,2,,,0,0,0,1.2
2020-03-14,1555,8296,22,56,5,2,,,0,0,0,1.93
2020-03-15,1834,10130,11,67,5,2,,,0,0,0,0.87
2020-03-16,1485,11615,24,91,6,2,,,0,0,0,2.63
2020-03-17,2083,13698,11,102,7,3,,,0,0,0,0.48
2020-03-18,2878,16576,29,131,12,3,,,1,1,0,1.88
2020-03-19,2869,19445,32,163,15,8,,,1,0,0,1.67
2020-03-20,3593,23038,46,209,16,9,,,1,0,0,1.64
2020-03-21,3507,26545,35,244,19,10,,,1,0,0,1.17
2020-03-22,2854,29399,47,291,20,10,,,1,0,0,1.26
2020-03-23,2728,32127,52,343,22,10,,,1,0,0,1.65
2020-03-24,3143,35270,68,411,29,11,,,1,0,0,1.81
2020-03-25,1645,36915,63,474,33,11,,,1,0,0,3.65
2020-03-26,1316,38231,53,527,34,11,,,1,0,0,2.74
2020-03-27,3697,41928,85,612,35,13,,,1,0,0,2.41
2020-03-28,2145,44073,54,666,38,14,,,1,0,0,2
2020-03-29,1929,46002,34,700,40,15,,,5,4,0,0.98
2020-03-30,2549,48551,40,740,42,17,,,10,5,0,1.18
2020-03-31,4770,53321,132,872,42,18,,,11,1,0,2.56
2020-04-01,3610,56931,108,980,41,20,,,12,1,0,2.3
2020-04-02,4009,60940,122,1102,43,20,,,15,3,0,2.34
2020-04-03,1723,62663,70,1172,45,19,,,18,3,0,2.44
2020-04-04,1807,64470,60,1232,47,20,,,23,5,0,2.6
2020-04-05,1185,65655,42,1274,44,20,,,25,2,0,3.21
2020-04-06,941,66596,34,1308,45,18,,,28,3,0,2.66
2020-04-07,1705,68301,53,1361,46,16,,,28,0,0,2.29
2020-04-08,1288,69589,33,1394,49,16,,,32,4,0,2.17
2020-04-09,2291,71880,45,1439,50,15,,,36,4,0,1.48
2020-04-10,2851,74731,49,1488,52,15,,,40,4,0,1.4
2020-04-11,2240,76971,65,1553,52,15,,,45,5,0,2.14
2020-04-12,2305,79276,68,1621,50,15,,,45,0,0,2.52
2020-04-13,2136,81412,68,1689,49,14,,,48,3,0,2.76
2020-04-14,2572,83984,127,1816,48,15,,,48,0,0,4.67
2020-04-15,3092,87076,133,1949,55,12,,,50,2,0,3.85
2020-04-16,3099,90175,146,2095,58,13,,,50,0,0,4.94
2020-04-17,5238,95413,213,2308,63,14,,,54,4,0,4.01
2020-04-18,3800,99213,187,2495,56,16,,,57,3,0,4.79
2020-04-19,4370,103583,201,2696,62,19,,,62,5,0,4.51
2020-04-20,4009,107592,183,2879,62,18,,,66,4,0,4.71
2020-04-21,4313,111905,264,3143,61,20,,,72,6,0,5.91
2020-04-22,4057,115962,294,3437,64,19,,,75,3,0,7.2
2020-04-23,4471,120433,340,3777,65,18,,,80,5,0,7.67
2020-04-24,4531,124964,232,4009,70,21,,,80,0,0,5.16
2020-04-25,4664,129628,222,4231,70,19,,,84,4,0,4.97
2020-04-26,4301,133929,203,4434,75,21,,,88,4,0,4.49
2020-04-27,3444,137373,178,4612,77,20,,,90,2,0,5.14
2020-04-28,4362,141735,249,4861,79,23,,,94,4,0,5.89
2020-04-29,5077,146812,231,5092,86,22,,,96,2,0,4.53
2020-04-30,5035,151847,222,5314,89,22,,,100,4,0,4.37
2020-05-01,2847,154694,141,5455,82,23,,,102,2,0,4.25
2020-05-02,4970,159664,112,5567,83,19,,,104,2,0,2.25
2020-05-03,3244,162908,70,5637,83,21,,,106,2,0,2.37
2020-05-04,2557,165465,79,5716,82,21,,,107,1,0,2.89
2020-05-05,3032,168497,62,5778,84,20,,,111,4,0,2.01
2020-05-06,2882,171379,65,5843,79,19,,,112,1,0,2.22
2020-05-07,4135,175514,87,5930,78,18,,,115,3,0,2.18
2020-05-08,3781,179295,77,6007,73,16,,,115,0,0,2.17
2020-05-09,4214,183509,85,6092,64,14,,,117,2,0,1.97
2020-05-10,3260,186769,71,6163,65,12,,,118,1,0,2.18
2020-05-11,2793,189562,47,6210,64,11,,,121,3,0,1.75
2020-05-12,3756,193318,70,6280,65,11,,,124,3,0,1.86
2020-05-13,4409,197727,62,6342,61,9,,,124,0,0,1.47
2020-05-14,4767,202494,61,6403,57,9,,,125,1,0,1.26
2020-05-15,4700,207194,73,6476,52,9,,,126,1,0,1.57
2020-05-16,3986,211180,54,6530,50,8,,,128,2,0,1.4
2020-05-17,3189,214369,46,6576,50,9,,,129,1,0,1.57
2020-05-18,3230,217599,38,6614,50,9,,,131,2,0,1.24
2020-05-19,2503,220102,43,6657,45,8,,,132,1,0,1.8
2020-05-20,3277,223379,27,6684,44,7,,,136,4,0,0.92
2020-05-21,3722,227101,30,6714,42,6,,,138,2,0,0.83
2020-05-22,3823,230924,27,6741,39,6,,,138,0,0,0.86
2020-05-23,3861,234785,32,6773,35,7,,,139,1,0,0.83
2020-05-24,3234,238019,29,6802,33,6,,,139,0,0,0.87
2020-05-25,2958,240977,13,6815,33,5,,,141,2,0,0.44
2020-05-26,3056,244033,19,6834,33,5,,,143,2,0,0.65
2020-05-27,3603,247636,27,6861,31,4,,,143,0,0,0.78
2020-05-28,3903,251539,28,6889,32,4,,,143,0,0,0.74
2020-05-29,3862,255401,30,6919,33,5,,,144,1,0,0.78
2020-05-30,3364,258765,20,6939,27,6,,,144,0,0,0.62
2020-05-31,3133,261898,34,6973,24,6,,,144,0,0,1.09
2020-06-01,2734,264632,21,6994,24,6,,,145,1,0,0.77
2020-06-02,4055,268687,19,7013,25,6,,,146,1,0,0.62
2020-06-03,4781,273468,18,7031,20,6,,,147,1,0,0.38
2020-06-04,5416,278884,19,7050,18,5,,,147,0,0,0.39
2020-06-05,5604,284488,37,7087,18,5,,,148,1,0,0.75
2020-06-06,5870,290358,23,7110,18,5,,,150,2,0,0.44
2020-06-07,5490,295848,33,7143,20,5,,,150,0,0,0.62
2020-06-08,4976,300824,24,7167,19,5,,,151,1,0,0.52
2020-06-09,5923,306747,38,7205,16,5,,,151,0,0,0.69
2020-06-10,6850,313597,48,7253,16,4,,,151,0,0,0.73
2020-06-11,8477,322074,43,7296,16,4,,,151,0,0,0.51
2020-06-12,6183,328257,27,7323,20,5,,,151,0,0,0.44
2020-06-13,7665,335922,35,7358,18,5,,,151,0,0,0.52
2020-06-14,7459,343381,53,7411,20,6,,,151,0,0,0.76
2020-06-15,6366,349747,36,7447,25,6,,,151,0,0,0.58
2020-06-16,6970,356717,45,7492,27,7,,,151,0,0,0.67
2020-06-17,7821,364538,46,7538,28,7,,,152,1,0,0.64
2020-06-18,9100,373638,46,7584,30,6,,,152,0,0,0.57
2020-06-19,7399,381037,47,7631,30,6,,,152,0,0,0.65
2020-06-20,8324,389361,30,7661,27,7,,,152,0,0,0.38
2020-06-21,6895,396256,33,7694,28,6,,,153,1,0,0.51
2020-06-22,6542,402798,41,7735,26,6,,,153,0,0,0.61
2020-06-23,6518,409316,45,7780,28,7,,,153,0,0,0.81
2020-06-24,6367,415683,25,7805,27,8,,,153,0,0,0.47
2020-06-25,6634,422317,36,7841,30,8,,,154,1,0,0.57
2020-06-26,6396,428713,66,7907,32,8,,,154,0,0,1.13
2020-06-27,6509,435222,37,7944,32,8,,,154,0,0,0.61
2020-06-28,6997,442219,68,8012,32,9,,,154,0,0,1.03
2020-06-29,7199,449418,44,8056,32,9,,,154,0,0,0.64
2020-06-30,6952,456370,33,8089,32,8,,,155,1,0,0.62
2020-07-01,7675,464045,64,8153,30,8,,,155,0,0,0.86
2020-07-02,6739,470784,55,8208,33,9,,,155,0,0,0.91
2020-07-03,5960,476744,30,8238,38,8,,,155,0,0,0.55
2020-07-04,5545,482289,48,8286,46,7,,,156,1,0,0.92
2020-07-05,5602,487891,48,8334,46,6,,,156,0,0,1.09
2020-07-06,6014,493905,49,8383,47,6,,,156,0,0,0.78
2020-07-07,6268,500173,44,8427,47,7,,,158,2,0,0.78
2020-07-08,6970,507143,43,8470,41,7,,,159,1,0,0.66
2020-07-09,7804,514947,74,8544,41,9,,,162,3,0,0.96
2020-07-10,7528,522475,62,8606,43,8,,,162,0,0,0.85
2020-07-11,10003,532478,90,8696,44,11,,,162,0,0,1.01
2020-07-12,7595,540073,78,8774,46,13,,,162,0,0,1.12
2020-07-13,5809,545882,87,8861,56,13,,,163,1,0,1.62
2020-07-14,6386,552268,85,8946,61,7,,,166,3,0,1.44
2020-07-15,8225,560493,115,9061,64,8,,,166,0,0,1.62
2020-07-16,6484,566977,103,9164,68,15,,,167,1,0,1.73
2020-07-17,9719,576696,168,9332,75,16,,,167,0,0,1.89
2020-07-18,6857,583553,102,9434,75,15,,,170,3,0,1.63
2020-07-19,6961,590514,88,9522,76,17,,,171,1,0,1.39
2020-07-20,7817,598331,131,9653,85,16,,,173,2,0,1.69
2020-07-21,8156,606487,136,9789,92,18,,,175,2,0,1.77
2020-07-22,8230,614717,113,9902,94,21,,,177,2,1,1.37
2020-07-23,8741,623458,116,10018,90,21,,,179,2,0,1.4
2020-07-24,10589,634047,117,10135,88,16,,,182,3,0,1.18
2020-07-25,9855,643902,98,10233,78,16,,,184,2,0,1.07
2020-07-26,7443,651345,89,10322,79,17,,,187,3,0,1.36
2020-07-27,7910,659255,81,10403,79,15,,,190,3,0,1.13
2020-07-28,8989,668244,131,10534,76,16,,,194,4,0,1.57
2020-07-29,8674,676918,118,10652,77,17,,,195,1,0,1.43
2020-07-30,8394,685312,124,10776,75,16,,,196,1,0,1.57
2020-07-31,11514,696826,99,10875,75,17,,,200,4,0,1.01
2020-08-01,9148,705974,67,10942,71,18,,,200,0,0,0.75
2020-08-02,6934,712908,73,11015,72,17,,,200,0,0,1.1
2020-08-03,7246,720154,64,11079,72,22,,,203,3,0,1.02
2020-08-04,7203,727357,94,11173,65,21,,,204,1,0,1.36
2020-08-05,7991,735348,61,11234,62,19,,,207,3,0,0.76
2020-08-06,8561,743909,128,11362,55,18,,,209,2,0,1.55
2020-08-07,8780,752689,111,11473,54,17,,,209,0,0,1.34
2020-08-08,10167,762856,97,11570,54,18,,,214,5,0,0.97
2020-08-09,7414,770270,45,11615,51,15,,,216,2,0,0.63
2020-08-10,7061,777331,86,11701,49,15,,,218,2,0,1.39
2020-08-11,8078,785409,116,11817,47,14,,,220,2,0,1.57
2020-08-12,7752,793161,72,11889,49,13,,,222,2,0,1.02
2020-08-13,8210,801371,81,11970,48,13,,,222,0,0,1.12
2020-08-14,10890,812261,104,12074,46,13,,,222,0,0,0.99
2020-08-15,8658,820919,83,12157,48,13,,,225,3,0,0.95
2020-08-16,8693,829612,95,12252,50,11,,,226,1,0,1.13
2020-08-17,8034,837646,85,12337,53,14,,,227,1,0,1.19
2020-08-18,9037,846683,81,12418,52,15,,,228,1,0,1.01
2020-08-19,9294,855977,101,12519,50,15,,,229,1,0,1.25
2020-08-20,9870,865847,140,12659,44,12,,,229,0,0,1.45
2020-08-21,10176,876023,88,12747,48,12,,,231,2,0,0.9
2020-08-22,10096,886119,103,12850,47,10,,,232,1,0,1.05
2020-08-23,8498,894617,70,12920,48,10,,,236,4,0,0.87
2020-08-24,8446,903063,73,12993,48,8,,,236,0,0,0.96
2020-08-25,9248,912311,125,13118,51,8,,,236,0,0,1.44
2020-08-26,10103,922414,104,13222,53,8,,,237,1,0,1.17
2020-08-27,10997,933411,153,13375,51,8,,,237,0,0,1.42
2020-08-28,10222,943633,142,13517,47,9,,,237,0,0,1.44
2020-08-29,11224,954857,181,13698,44,9,,,237,0,0,1.75
2020-08-30,12265,967122,109,13807,49,11,,,238,1,0,1.02
2020-08-31,9342,976464,152,13959,52,11,,,239,1,0,1.69
2020-09-01,8305,984769,109,14068,53,10,,,240,1,0,1.38
2020-09-02,9557,994326,132,14200,50,10,,,240,0,0,1.44
2020-09-03,10721,1005047,157,14357,52,11,,,241,1,0,1.5
2020-09-04,11395,1016442,169,14526,52,13,,,242,1,0,1.61
2020-09-05,11374,1027816,168,14694,51,13,,,244,2,0,1.58
2020-09-06,12100,1039916,134,14828,49,11,,,245,1,0,1.19
2020-09-07,12570,1052486,147,14975,48,10,,,249,4,0,1.26
2020-09-08,10507,1062993,97,15072,49,7,,,250,1,0,1
2020-09-09,9716,1072709,113,15185,44,7,,,250,0,0,1.25
2020-09-10,11983,1084692,116,15301,42,6,,,251,1,0,0.98
2020-09-11,12763,1097455,115,15416,43,6,,,252,1,0,0.94
2020-09-12,18920,1116375,166,15582,44,7,,,252,0,0,0.89
2020-09-13,14459,1130834,137,15719,41,7,,,252,0,0,1
2020-09-14,12992,1143826,123,15842,48,9,,,252,0,0,0.96
2020-09-15,12546,1156372,170,16012,46,8,,,252,0,0,1.41
2020-09-16,18136,1174508,182,16194,47,8,,,252,0,0,1.05
2020-09-17,12707,1187215,125,16319,51,8,,,252,0,0,1.05
2020-09-18,13830,1201045,137,16456,58,9,,,252,0,0,1.03
2020-09-19,14062,1215107,120,16576,59,11,,,253,1,0,0.89
2020-09-20,16262,1231369,152,16728,60,12,,,254,1,0,0.97
2020-09-21,13500,1244869,156,16884,60,12,,,256,2,0,1.24
2020-09-22,13663,1258532,128,17012,61,13,,,258,2,0,1
2020-09-23,13663,1272195,129,17141,64,15,,,260,2,0,1.04
2020-09-24,16685,1288880,124,17265,68,15,,,260,0,0,0.85
2020-09-25,14630,1303510,175,17440,70,16,,,261,1,0,1.28
2020-09-26,18583,1322093,155,17595,69,16,,,262,1,0,0.91
2020-09-27,14135,1336228,121,17716,72,14,,,263,1,0,0.94
2020-09-28,12583,1348811,127,17843,70,12,,,263,0,0,1.08
2020-09-29,15567,1364378,175,18018,70,12,,,264,1,0,1.16
2020-09-30,15243,1379621,154,18172,74,13,,,268,4,0,1.05
2020-10-01,14111,1393732,147,18319,74,15,,,271,3,0,1.16
2020-10-02,15888,1409620,222,18541,79,16,,,275,4,0,1.5
2020-10-03,14894,1424514,195,18736,80,16,,,277,2,0,1.35
2020-10-04,14479,1438993,213,18949,76,14,,,278,1,0,1.49
2020-10-05,18042,1457035,206,19155,79,16,,,278,0,0,1.2
2020-10-06,11770,1468805,243,19398,88,15,,,280,2,0,2.12
2020-10-07,13980,1482785,218,19616,92,13,,,281,1,0,1.68
2020-10-08,15356,1498141,186,19802,91,11,,,282,1,0,1.35
2020-10-09,16199,1514340,258,20060,91,12,,,283,1,0,1.67
2020-10-10,13888,1528228,250,20310,98,14,,,284,1,0,1.93
2020-10-11,16677,1544905,241,20551,101,16,,,285,1,0,1.57
2020-10-12,11474,1556379,221,20772,103,13,,,285,0,0,2.03
2020-10-13,14901,1571280,242,21014,104,14,,,287,2,0,1.7
2020-10-14,12795,1584075,242,21256,108,15,,,287,0,0,2.01
2020-10-15,14179,1598254,319,21575,118,10,,,288,1,0,2.36
2020-10-16,16032,1614286,307,21882,118,12,,,289,1,0,2.01
2020-10-17,12565,1626851,225,22107,123,13,,,289,0,0,1.85
2020-10-18,13598,1640449,370,22477,121,16,,,291,2,0,2.89
2020-10-19,13019,1653468,324,22801,120,15,,,293,2,0,2.63
2020-10-20,14955,1668423,392,23193,114,15,,,295,2,0,2.88
2020-10-21,14333,1682756,436,23629,108,17,,,297,2,0,3.18
2020-10-22,15549,1698305,442,24071,107,14,,,301,4,0,2.89
2020-10-23,16389,1714694,390,24461,106,15,,,304,3,0,2.5
2020-10-24,17134,1731828,578,25039,108,17,,,306,2,0,3.54
2020-10-25,12689,1744517,500,25539,110,16,,,307,1,0,4.12
2020-10-26,9649,1754166,416,25955,117,16,,,309,2,0,4.57
2020-10-27,10962,1765128,407,26362,122,20,,,314,5,0,3.94
2020-10-28,12858,1777986,479,26841,131,18,,,320,6,0,3.94
2020-10-29,13649,1791635,614,27455,141,25,,,323,3,0,4.83
2020-10-30,13827,1805462,589,28044,136,24,,,326,3,0,4.39
2020-10-31,13203,1818665,524,28568,142,24,,,333,7,0,4.17
2020-11-01,11638,1830303,605,29173,152,28,,,338,5,0,5.34
2020-11-02,8970,1839273,571,29744,154,28,,,341,3,0,6.61
2020-11-03,11167,1850440,537,30281,158,32,,,350,9,0,5.05
2020-11-04,14099,1864539,771,31052,159,32,,,354,4,0,5.74
2020-11-05,14153,1878692,735,31787,171,32,,,361,7,0,5.48
2020-11-06,15030,1893722,825,32612,179,33,,,368,7,0,5.89
2020-11-07,12167,1905889,640,33252,184,35,,,373,5,0,5.59
2020-11-08,11616,1917505,630,33882,192,38,,,383,10,0,5.72
2020-11-09,9323,1926828,724,34606,207,42,,,389,6,0,8.22
2020-11-10,12679,1939507,676,35282,216,44,,,397,8,0,5.76
2020-11-11,14924,1954431,854,36136,224,50,,,400,3,0,5.98
2020-11-12,14035,1968466,896,37032,246,53,,,407,7,0,6.93
2020-11-13,14322,1982788,1017,38049,261,55,,,413,6,0,7.71
2020-11-14,15603,1998391,981,39030,271,57,,,422,9,0,6.72
2020-11-15,12217,2010608,852,39882,283,56,,,435,13,0,7.45
2020-11-16,11539,2022147,765,40647,292,58,,,449,14,0,7
2020-11-17,13453,2035600,729,41376,305,59,,,459,10,0,5.91
2020-11-18,16471,2052071,1102,42478,322,61,,,466,7,0,7.24
2020-11-19,17768,2069839,1140,43618,345,59,,,476,10,0,7.05
2020-11-20,19342,2089181,1333,44951,355,58,,,484,8,0,7.45
2020-11-21,19571,2108752,1562,46513,356,62,,,493,9,0,8.54
2020-11-22,19567,2128319,1528,48041,364,65,,,504,11,0,8.33
2020-11-23,13649,2141968,1120,49161,383,66,,,514,10,0,8.78
2020-11-24,15715,2157683,1271,50432,397,74,,,524,10,0,8.53
2020-11-25,16000,2173683,1084,51516,436,85,,,533,9,0,7.28
2020-11-26,16355,2190038,1228,52744,448,86,,,545,12,0,7.92
2020-11-27,21749,2211787,1714,54458,462,89,,,558,13,0,8.39
2020-11-28,23385,2235172,1593,56051,477,94,,,567,9,0,7.32
2020-11-29,20591,2255763,1709,57760,494,95,,,579,12,0,8.79
2020-11-30,15884,2271647,1317,59077,520,102,,,595,16,0,8.82
2020-12-01,18517,2290164,1695,60772,550,100,,,607,12,0,9.61
2020-12-02,19698,2309862,1851,62623,565,101,,,625,18,0,9.81
2020-12-03,17309,2327171,1794,64417,587,100,,,640,15,0,11.15
2020-12-04,21186,2348357,1880,66297,601,103,,,666,26,0,9.47
2020-12-05,23544,2371901,1828,68125,626,106,,,680,14,0,8.3
2020-12-06,20472,2392373,1725,69850,654,113,,,699,19,0,9.02
2020-12-07,19195,2411568,1794,71644,695,115,,,722,23,0,9.85
2020-12-08,16894,2428462,1494,73138,708,128,,,735,13,0,9.48
2020-12-09,16891,2445353,1596,74734,725,127,,,756,21,0,9.98
2020-12-10,21106,2466459,1745,76479,727,127,,,775,19,0,8.93
2020-12-11,20348,2486807,1597,78076,726,128,,,787,12,0,8.42
2020-12-12,21833,2508640,1709,79785,705,136,,,812,25,0,8.35
2020-12-13,20496,2529136,1865,81650,729,138,,,828,16,0,9.52
2020-12-14,16468,2545604,1342,82992,760,135,,,848,20,0,8.9
2020-12-15,17645,2563249,1287,84279,774,142,,,871,23,1,7.71
2020-12-16,19960,2583209,1592,85871,784,140,,,895,24,0,8.46
2020-12-17,19672,2602881,1461,87332,792,145,,,916,21,1,7.97
2020-12-18,18664,2621545,1369,88701,790,154,,,944,28,0,7.93
2020-12-19,18156,2639701,1307,90008,789,152,,,961,17,0,7.62
2020-12-20,18499,2658200,1251,91259,810,153,,,974,13,0,7.37
2020-12-21,14366,2672566,1052,92311,822,152,,,996,22,1,7.73
2020-12-22,19445,2692011,1336,93647,836,144,,,1021,25,1,7.45
2020-12-23,15747,2707758,1130,94777,852,150,,,1042,21,1,7.67
2020-12-24,18182,2725940,1240,96017,848,151,,,1064,22,1,7.32
2020-12-25,14406,2740346,904,96921,836,147,,,1092,28,0,6.68
2020-12-26,7110,2747456,486,97407,846,141,,,1116,24,1,7.44
2020-12-27,9892,2757348,955,98362,864,150,,,1143,27,0,10.35
2020-12-28,11287,2768635,897,99259,880,154,,,1159,16,0,8.33
2020-12-29,15059,2783694,1364,100623,903,152,,,1179,20,0,9.39
2020-12-30,17143,2800837,1263,101886,905,144,,,1197,18,0,7.65
2020-12-31,16684,2817521,1360,103246,892,141,,,1213,16,0,8.57
2021-01-01,12952,2830473,921,104167,877,147,,,1237,24,4,7.61
2021-01-02,8365,2838838,466,104633,889,142,,,1267,30,1,5.86
2021-01-03,12232,2851070,1138,105771,890,139,,,1291,24,2,9.86
2021-01-04,10628,2861698,878,106649,902,141,,,1316,25,1,8.62
2021-01-05,16450,2878148,1148,107797,880,142,,,1339,23,1,7.28
2021-01-06,15094,2893242,966,108763,847,140,,,1365,26,1,6.7
2021-01-07,16994,2910236,1177,109940,818,139,,,1385,20,4,7.21
2021-01-08,13664,2923900,980,110920,798,135,,,1402,17,1,7.52
2021-01-09,12367,2936267,809,111729,772,132,,,1426,24,3,6.87
2021-01-10,9894,2946161,627,112356,793,136,,,1454,28,0,6.65
2021-01-11,9401,2955562,675,113031,798,133,,,1472,18,0,7.5
2021-01-12,15960,2971522,867,113898,791,137,,,1496,24,2,5.8
2021-01-13,16303,2987825,966,114864,767,135,,,1506,10,1,6.31
2021-01-14,13640,3001465,779,115643,765,127,,,1521,15,1,5.91
2021-01-15,12472,3013937,702,116345,740,123,,,1538,17,5,5.92
2021-01-16,11527,3025464,743,117088,717,123,,,1557,19,6,6.81
2021-01-17,8613,3034077,461,117549,717,121,,,1575,18,2,5.65
2021-01-18,7730,3041807,462,118011,723,122,,,1587,12,2,6.27
2021-01-19,14722,3056529,670,118681,725,125,,,1611,24,0,4.88
2021-01-20,14097,3070626,672,119353,701,121,,,1627,16,4,5.03
2021-01-21,13042,3083668,642,119995,671,117,,,1642,15,2,5.09
2021-01-22,10918,3094586,567,120562,649,115,,,1655,13,3,5.52
2021-01-23,10256,3104842,451,121013,615,111,,,1672,17,2,4.57
2021-01-24,7203,3112045,358,121371,602,114,,,1684,12,1,5.28
2021-01-25,8317,3120362,362,121733,593,108,,,1700,16,10,4.48
2021-01-26,12891,3133253,468,122201,575,109,,,1707,7,1,3.82
2021-01-27,12336,3145589,473,122674,566,111,,,1716,9,4,4.09
2021-01-28,11608,3157197,519,123193,561,108,,,1727,11,12,4.63
2021-01-29,10396,3167593,388,123581,547,102,,,1735,8,4,3.89
2021-01-30,8966,3176559,468,124049,527,101,,,1744,9,6,5.45
2021-01-31,7305,3183864,351,124400,521,102,,,1751,7,5,5
2021-02-01,7913,3191777,280,124680,524,96,,,1760,9,8,3.65
2021-02-02,13072,3204849,456,125136,500,93,,,1768,8,12,3.66
2021-02-03,11521,3216370,403,125539,476,92,,,1781,13,12,3.64
2021-02-04,10002,3226372,394,125933,444,88,,,1786,5,15,4.12
2021-02-05,10045,3236417,361,126294,423,83,,,1797,11,22,3.78
2021-02-06,8250,3244667,352,126646,404,80,,,1802,5,7,4.34
2021-02-07,6196,3250863,268,126914,399,77,,,1810,8,6,4.52
2021-02-08,7015,3257878,220,127134,397,78,,,1815,5,2,3.31
2021-02-09,10888,3268766,335,127469,386,75,,,1823,8,13,3.27
2021-02-10,9976,3278742,348,127817,359,68,,,1831,8,16,3.6
2021-02-11,8418,3287160,318,128135,332,63,,,1844,13,10,3.85
2021-02-12,8079,3295239,301,128436,316,60,,,1851,7,26,3.85
2021-02-13,7984,3303223,286,128722,313,56,,,1854,3,8,3.81
2021-02-14,5396,3308619,244,128966,309,55,,,1857,3,4,4.63
2021-02-15,5239,3313858,260,129226,322,53,,,1862,5,7,5.33
2021-02-16,7489,3321347,286,129512,325,57,,,1867,5,10,4.07
2021-02-17,10302,3331649,420,129932,316,53,,,1869,2,8,4.39
2021-02-18,9386,3341035,331,130263,303,54,,,1875,6,7,3.7
2021-02-19,8398,3349433,384,130647,289,50,,,1879,4,15,4.8
2021-02-20,7546,3356979,327,130974,280,54,,,1880,1,19,4.52
2021-02-21,6074,3363053,268,131242,292,53,,,1884,4,10,4.63
2021-02-22,6338,3369391,277,131519,293,52,,,1889,5,19,4.48
2021-02-23,9485,3378876,425,131944,280,58,,,1890,1,24,4.83
2021-02-24,9232,3388108,404,132348,273,57,,,1893,3,21,4.57
2021-02-25,9226,3397334,355,132703,272,56,,,1898,5,32,4.05
2021-02-26,7777,3405111,413,133116,267,50,,,1903,5,32,5.54
2021-02-27,7523,3412634,301,133417,253,45,,,1905,2,16,4.28
2021-02-28,5957,3418591,287,133704,262,48,,,1908,3,35,5.1
2021-03-01,5870,3424461,262,133966,258,50,,,1911,3,14,4.62
2021-03-02,10364,3434825,400,134366,254,44,,,1915,4,34,3.94
2021-03-03,9498,3444323,333,134699,247,43,,,1916,1,27,3.7
2021-03-04,10581,3454904,408,135107,252,41,,,1918,2,38,4.07
2021-03-05,8149,3463053,335,135442,253,40,,,1921,3,31,4.2
2021-03-06,8099,3471152,306,135748,244,38,,,1924,3,47,3.93
2021-03-07,5493,3476645,250,135998,252,34,,,1925,1,33,4.53
2021-03-08,5445,3482090,250,136248,259,35,,,1930,5,36,4.74
2021-03-09,10419,3492509,384,136632,248,36,,,1932,2,47,3.79
2021-03-10,10187,3502696,405,137037,254,37,,,1937,5,73,4.13
2021-03-11,9921,3512617,447,137484,257,38,,,1941,4,58,4.65
2021-03-12,8891,3521508,426,137910,254,36,,,1946,5,67,4.99
2021-03-13,8353,3529861,376,138286,249,36,,,1950,4,64,4.66
2021-03-14,6635,3536496,364,138650,260,41,,,1954,4,76,5.73
2021-03-15,6030,3542526,349,138999,259,41,,,1957,3,73,6.09
2021-03-16,10846,3553372,507,139506,262,42,,,1958,1,113,4.91
2021-03-17,10957,3564329,516,140022,266,42,,,1958,0,125,4.95
2021-03-18,11928,3576257,669,140691,271,46,,,1961,3,198,5.78
2021-03-19,9993,3586250,528,141219,274,47,,,1962,1,128,5.32
2021-03-20,11433,3597683,544,141763,275,46,,,1965,3,157,5.02
2021-03-21,7559,3605242,456,142219,280,46,,,1969,4,181,6.2
2021-03-22,7349,3612591,481,142700,290,52,,,1973,4,173,6.89
2021-03-23,12853,3625444,677,143377,288,51,,,1975,2,197,5.42
2021-03-24,14075,3639519,762,144139,289,54,,,1977,2,253,5.51
2021-03-25,13346,3652865,727,144866,281,57,,,1983,6,216,5.66
2021-03-26,11533,3664398,655,145521,279,65,,,1987,4,259,5.84
2021-03-27,11985,3676383,640,146161,275,62,,,1987,0,283,5.57
2021-03-28,8377,3684760,540,146701,285,62,,,1990,3,250,6.71
2021-03-29,8101,3692861,622,147323,295,57,,,1992,2,299,7.91
2021-03-30,13761,3706622,895,148218,291,62,,,1995,3,446,6.66
2021-03-31,13645,3720267,878,149096,284,59,,,1998,3,443,6.75
2021-04-01,13292,3733559,1078,150174,288,61,,,1999,1,604,8.64
2021-04-02,12123,3745682,1065,151239,294,69,,,1999,0,608,9.03
2021-04-03,11204,3756886,936,152175,296,70,,,2002,3,549,8.69
2021-04-04,9098,3765984,867,153042,308,76,,,2003,1,502,9.85
2021-04-05,9179,3775163,930,153972,320,77,,,2003,0,539,10.7
2021-04-06,14094,3789257,1365,155337,323,78,,,2003,0,834,9.97
2021-04-07,15245,3804502,1414,156751,333,82,,,2006,3,834,9.61
